"","country","exppercapita"
"1","Aruba",NA
"2","Afghanistan",49.84260941
"3","Angola",87.61676788
"4","Albania",274.91409302
"5","Andorra",2821.80126953
"6","Arab World",392.551396957434
"7","United Arab Emirates",1817.34765625
"8","Argentina",1127.90722656
"9","Armenia",422.28268433
"10","American Samoa",NA
"11","Antigua and Barbuda",875.17254639
"12","Australia",5425.34033203
"13","Austria",5326.43701172
"14","Azerbaijan",165.7674408
"15","Burundi",24.02547073
"16","Belgium",4912.70068359
"17","Benin",30.9390583
"18","Burkina Faso",40.24945068
"19","Bangladesh",41.90905762
"20","Bulgaria",689.90539551
"21","Bahrain",994.17901611
"22","Bahamas, The",2013.37927246
"23","Bosnia and Herzegovina",539.54663086
"24","Belarus",356.25073242
"25","Belize",285.98583984
"26","Bermuda",NA
"27","Bolivia",223.59788513
"28","Brazil",848.38885498
"29","Barbados",1164.54455566
"30","Brunei Darussalam",763.15289307
"31","Bhutan",102.73851776
"32","Botswana",482.96307373
"33","Central African Republic",53.66416168
"34","Canada",4994.90234375
"35","Central Europe and the Baltics",1054.65445347421
"36","Switzerland",9870.6640625
"37","Channel Islands",NA
"38","Chile",1455.60791016
"39","China",501.05938721
"40","Cote d'Ivoire",71.88140869
"41","Cameroon",54.13952637
"42","Congo, Dem. Rep.",18.51088905
"43","Congo, Rep.",47.5177536
"44","Colombia",513.15869141
"45","Comoros",65.22776031
"46","Cabo Verde",194.85687256
"47","Costa Rica",909.6730957
"48","Caribbean small states",621.245733369024
"49","Cuba",986.93731689
"50","Curacao",NA
"51","Cayman Islands",NA
"52","Cyprus",1954.40686035
"53","Czech Republic",1765.58837891
"54","Germany",5472.20214844
"55","Djibouti",70.86093903
"56","Dominica",490.81829834
"57","Denmark",6216.76855469
"58","Dominican Republic",461.54251099
"59","Algeria",255.86943054
"60","East Asia & Pacific (excluding high income)",387.198599774383
"61","Early-demographic dividend",176.231894688671
"62","East Asia & Pacific",721.883561260737
"63","Europe & Central Asia (excluding high income)",411.59536666943
"64","Europe & Central Asia",2346.61700433536
"65","Ecuador",516.24798584
"66","Egypt, Arab Rep.",125.54537201
"67","Euro area",4063.24878456844
"68","Eritrea",23.78602791
"69","Spain",2736.32324219
"70","Estonia",1552.96875
"71","Ethiopia",24.22611809
"72","European Union",3524.71140271311
"73","Fragile and conflict affected situations",81.3789067666573
"74","Finland",4515.67724609
"75","Fiji",214.55378723
"76","France",4690.07226563
"77","Faroe Islands",NA
"78","Micronesia, Fed. Sts.",415.81680298
"79","Gabon",218.36860657
"80","United Kingdom",4315.42773438
"81","Georgia",312.74691772
"82","Ghana",77.91143036
"83","Gibraltar",NA
"84","Guinea",38.31764221
"85","Gambia, The",22.15542793
"86","Guinea-Bissau",53.29457474
"87","Equatorial Guinea",314.29876709
"88","Greece",1566.89990234
"89","Grenada",474.5328064
"90","Greenland",NA
"91","Guatemala",259.62017822
"92","Guam",NA
"93","Guyana",295.55789185
"94","High income",5562.34475457668
"95","Hong Kong SAR, China",NA
"96","Honduras",176.24726868
"97","Heavily indebted poor countries (HIPC)",46.5274046939116
"98","Croatia",1014.22235107
"99","Haiti",64.24588013
"100","Hungary",1081.80285645
"101","IBRD only",343.895082721771
"102","IDA & IBRD total",272.098902352285
"103","IDA total",54.115919158875
"104","IDA blend",68.4185017915828
"105","Indonesia",111.67790985
"106","IDA only",46.4323904057029
"107","Isle of Man",NA
"108","India",72.83453369
"109","Not classified",NA
"110","Ireland",5489.07080078
"111","Iran, Islamic Rep.",484.28659058
"112","Iraq",239.41305542
"113","Iceland",6530.93212891
"114","Israel",3323.65063477
"115","Italy",2988.99584961
"116","Jamaica",320.97631836
